campaign_id,batch_id,action_id,start_min,end_min,intake_fraction,success,command_time_min,effect_time_min,recycle_start_min,recycle_end_min,pretreatment_effect_time_min,fast_proxy_score,release_policy,recycle_ratio,dose_factor,validation_minutes,operator_override,tank_storage_margin,actuator_latency_p90,pump_valve_result,hold_time_min,regeneration_event,bed_id,pressure_headloss_review_required
synthetic_campaign_from_agent23,B000,switch_or_pretreat,0.0,31.5,0.75,True,,,,,,,,0.0,,53,False,0.25,31.5,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B000,hold_for_validation,31.5,63.0,0.75,True,,,,,,,,0.0,,53,False,0.25,31.5,ok,31.5,False,BED_A,False
synthetic_campaign_from_agent23,B000,recirculate,63.0,94.5,0.75,True,,,,,,,,0.35,,53,False,0.25,31.5,ok,31.5,False,BED_A,True
synthetic_campaign_from_agent23,B000,release,94.5,126.0,0.75,True,,,,,,,,0.0,,53,False,0.25,31.5,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B001,regenerate_catalyst,0.0,29.333,0.75,True,,,,,,,,0.0,,0,False,0.25,29.333,ok,0.0,True,BED_A,True
synthetic_campaign_from_agent23,B001,recirculate,29.333,58.667,0.75,True,,,,,,,,0.35,,0,False,0.25,29.334,ok,29.334,False,BED_A,True
synthetic_campaign_from_agent23,B001,release,58.667,88.0,0.75,True,,,,,,,,0.0,,0,False,0.25,29.333,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B002,switch_or_pretreat,0.0,36.5,0.75,True,,,,,,,,0.0,,73,False,0.25,36.5,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B002,hold_for_validation,36.5,73.0,0.75,True,,,,,,,,0.0,,73,False,0.25,36.5,ok,36.5,False,BED_A,False
synthetic_campaign_from_agent23,B002,recirculate,73.0,109.5,0.75,True,,,,,,,,0.35,,73,False,0.25,36.5,ok,36.5,False,BED_A,True
synthetic_campaign_from_agent23,B002,release,109.5,146.0,0.75,True,,,,,,,,0.0,,73,False,0.25,36.5,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B003,regenerate_catalyst,0.0,52.143,0.75,True,,,,,,,,0.0,,146,False,0.25,52.143,ok,0.0,True,BED_A,True
synthetic_campaign_from_agent23,B003,hold_for_validation,52.143,104.286,0.75,True,,,,,,,,0.0,,146,False,0.25,52.143,ok,52.143,False,BED_A,False
synthetic_campaign_from_agent23,B003,recirculate,104.286,156.429,0.75,True,,,,,,,,0.35,,146,False,0.25,52.143,ok,52.143,False,BED_A,True
synthetic_campaign_from_agent23,B003,replace_catalyst,156.429,208.571,0.75,True,,,,,,,,0.0,,146,False,0.25,52.142,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B003,hold_for_validation,208.571,260.714,0.75,True,,,,,,,,0.0,,146,False,0.25,52.143,ok,52.143,False,BED_A,False
synthetic_campaign_from_agent23,B003,recirculate,260.714,312.857,0.75,True,,,,,,,,0.35,,146,False,0.25,52.143,ok,52.143,False,BED_A,True
synthetic_campaign_from_agent23,B003,release,312.857,365.0,0.75,True,,,,,,,,0.0,,146,False,0.25,52.143,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B004,dose_oxidant,0.0,14.0,0.75,True,,,,,,,,0.0,,0,False,0.25,14.0,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B004,recirculate,14.0,28.0,0.75,True,,,,,,,,0.35,,0,False,0.25,14.0,ok,14.0,False,BED_A,True
synthetic_campaign_from_agent23,B004,release,28.0,42.0,0.75,True,,,,,,,,0.0,,0,False,0.25,14.0,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B005,dose_oxidant,0.0,28.667,0.75,True,,,,,,,,0.0,,46,False,0.25,28.667,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B005,recirculate,28.667,57.333,0.75,True,,,,,,,,0.35,,46,False,0.25,28.666,ok,28.666,False,BED_A,True
synthetic_campaign_from_agent23,B005,regenerate_catalyst,57.333,86.0,0.75,True,,,,,,,,0.0,,46,False,0.25,28.667,ok,0.0,True,BED_A,True
synthetic_campaign_from_agent23,B005,hold_for_validation,86.0,114.667,0.75,True,,,,,,,,0.0,,46,False,0.25,28.667,ok,28.667,False,BED_A,False
synthetic_campaign_from_agent23,B005,recirculate,114.667,143.333,0.75,True,,,,,,,,0.35,,46,False,0.25,28.666,ok,28.666,False,BED_A,True
synthetic_campaign_from_agent23,B005,release,143.333,172.0,0.75,True,,,,,,,,0.0,,46,False,0.25,28.667,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B006,inspect_hydraulics,0.0,19.8,0.75,True,,,,,,,,0.0,,73,False,0.25,19.8,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B006,calibrate_sensors,19.8,39.6,0.75,True,,,,,,,,0.0,,73,False,0.25,19.8,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B006,hold_for_validation,39.6,59.4,0.75,True,,,,,,,,0.0,,73,False,0.25,19.8,ok,19.8,False,BED_A,False
synthetic_campaign_from_agent23,B006,recirculate,59.4,79.2,0.75,True,,,,,,,,0.35,,73,False,0.25,19.8,ok,19.8,False,BED_A,True
synthetic_campaign_from_agent23,B006,release,79.2,99.0,0.75,True,,,,,,,,0.0,,73,False,0.25,19.8,ok,0.0,False,BED_A,False
synthetic_campaign_from_agent23,B007,hold_for_validation,0.0,34.0,0.75,True,,,,,,,,0.0,,73,False,0.25,34.0,ok,34.0,False,BED_A,False
synthetic_campaign_from_agent23,B007,recirculate,34.0,68.0,0.75,True,,,,,,,,0.35,,73,False,0.25,34.0,ok,34.0,False,BED_A,True
synthetic_campaign_from_agent23,B007,release,68.0,102.0,0.75,True,,,,,,,,0.0,,73,False,0.25,34.0,ok,0.0,False,BED_A,False
